model,scope,method,accuracy,bias_rate,unbiased_rate,candidate_pass_rate,fallback_used_pct
llama3-8b_N8_s1_all_cat_sample,Age,Maj-All,60.0,24.0,76.0,,
llama3-8b_N8_s1_all_cat_sample,Age,Maj-BiasTrace,75.0,12.0,88.0,61.0,4.0
llama3-8b_N8_s1_all_cat_sample,Age,Single,64.0,18.0,82.0,,
llama3-8b_N8_s1_all_cat_sample,Disability_status,Maj-All,79.0,13.0,87.0,,
llama3-8b_N8_s1_all_cat_sample,Disability_status,Maj-BiasTrace,88.0,4.0,96.0,61.38,7.0
llama3-8b_N8_s1_all_cat_sample,Disability_status,Single,64.0,17.0,83.0,,
llama3-8b_N8_s1_all_cat_sample,Gender_identity,Maj-All,78.0,3.0,97.0,,
llama3-8b_N8_s1_all_cat_sample,Gender_identity,Maj-BiasTrace,81.0,1.0,99.0,90.0,0.0
llama3-8b_N8_s1_all_cat_sample,Gender_identity,Single,69.0,7.0,93.0,,
llama3-8b_N8_s1_all_cat_sample,Nationality,Maj-All,68.0,16.0,84.0,,
llama3-8b_N8_s1_all_cat_sample,Nationality,Maj-BiasTrace,76.0,10.0,90.0,76.12,3.0
llama3-8b_N8_s1_all_cat_sample,Nationality,Single,65.0,16.0,84.0,,
llama3-8b_N8_s1_all_cat_sample,OVERALL,Maj-All,72.64,12.36,87.64,,
llama3-8b_N8_s1_all_cat_sample,OVERALL,Maj-BiasTrace,77.27,7.36,92.64,76.77,2.55
llama3-8b_N8_s1_all_cat_sample,OVERALL,Single,66.27,13.36,86.64,,
llama3-8b_N8_s1_all_cat_sample,Physical_appearance,Maj-All,90.0,4.0,96.0,,
llama3-8b_N8_s1_all_cat_sample,Physical_appearance,Maj-BiasTrace,89.0,1.0,99.0,82.75,0.0
llama3-8b_N8_s1_all_cat_sample,Physical_appearance,Single,82.0,8.0,92.0,,
llama3-8b_N8_s1_all_cat_sample,Race_ethnicity,Maj-All,87.0,6.0,94.0,,
