,Llama 70B | t0.6 | 0/1 GA,Llama 70B | t0.6 | 0/1 BA,Llama 70B | t0.6 | 0/1 MR,Llama 70B | t0.6 | 0/1 ODK,Llama 70B | t0.6 | 0/1 OTK,Llama 70B | t0.6 | 0/1 UR,Llama 70B | t0.6 | 0/1 OT,Llama 70B | t0.6 | 0/1 ML,Llama 70B | t0.01 | 0/1 bias,Llama 70B | t0.6 | 0/1 bias,Llama 70B | t0.6 | 0-5 bin,Claude | t0.6 | 0/1 bias,Claude | t0.6 | 0-5 bin,Claude | t0.6 | 0/1 GA,Claude | t0.6 | 0/1 BA,Claude | t0.6 | 0/1 MR,Claude | t0.6 | 0/1 ODK,Claude | t0.6 | 0/1 OTK,Claude | t0.6 | 0/1 UR,Claude | t0.6 | 0/1 OT,Claude | t0.6 | 0/1 ML,Human |  | is_correct,Human |  | stereotype_aligned,Human |  | 0/1 GA,Human |  | 0/1 BA,Human |  | 0/1 MR,Human |  | 0/1 ODK,Human |  | 0/1 OTK,Human |  | 0/1 UR,Human |  | 0/1 OT,Human |  | 0/1 ML
Llama 70B | t0.6 | 0/1 GA,1.0,0.5476190476190477,0.5,0.9047619047619048,0.7380952380952381,0.6428571428571429,0.35714285714285715,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.47619047619047616,0.8571428571428571,0.9047619047619048,0.9285714285714286,0.6190476190476191,0.5476190476190477,0.9761904761904762,0.6904761904761905,0.6190476190476191,0.4523809523809524,0.7619047619047619,0.5714285714285714,0.7619047619047619,0.8095238095238095,0.5714285714285714,0.7619047619047619,0.9047619047619048,0.7619047619047619,0.7142857142857143,0.42857142857142855,0.7619047619047619
Llama 70B | t0.6 | 0/1 BA,0.5476190476190477,1.0,0.6190476190476191,0.5476190476190477,0.5952380952380952,0.5,0.38095238095238093,0.5476190476190477,0.5476190476190477,0.5,0.5,0.5952380952380952,0.5476190476190477,0.5714285714285714,0.7857142857142857,0.5714285714285714,0.5238095238095238,0.6190476190476191,0.5,0.38095238095238093,0.5,0.4523809523809524,0.30952380952380953,0.7380952380952381,0.6428571428571429,0.5952380952380952,0.5476190476190477,0.5952380952380952,0.5,0.4523809523809524,0.5476190476190477
Llama 70B | t0.6 | 0/1 MR,0.5,0.6190476190476191,1.0,0.4523809523809524,0.42857142857142855,0.6190476190476191,0.6666666666666666,0.30952380952380953,0.30952380952380953,0.35714285714285715,0.6904761904761905,0.6428571428571429,0.5952380952380952,0.5714285714285714,0.5,0.8095238095238095,0.47619047619047616,0.5476190476190477,0.6666666666666666,0.7619047619047619,0.38095238095238093,0.21428571428571427,0.40476190476190477,0.6428571428571429,0.5,0.5952380952380952,0.4523809523809524,0.6428571428571429,0.4523809523809524,0.7857142857142857,0.35714285714285715
Llama 70B | t0.6 | 0/1 ODK,0.9047619047619048,0.5476190476190477,0.4523809523809524,1.0,0.7380952380952381,0.6428571428571429,0.2619047619047619,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.38095238095238093,0.7619047619047619,0.8095238095238095,0.8333333333333334,0.6666666666666666,0.5476190476190477,0.9285714285714286,0.6904761904761905,0.5714285714285714,0.35714285714285715,0.7619047619047619,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.8571428571428571,1.0,0.6666666666666666,0.8095238095238095,0.42857142857142855,0.7619047619047619
Llama 70B | t0.6 | 0/1 OTK,0.7380952380952381,0.5952380952380952,0.42857142857142855,0.7380952380952381,1.0,0.6428571428571429,0.2857142857142857,0.7380952380952381,0.7380952380952381,0.6904761904761905,0.40476190476190477,0.5952380952380952,0.6428571428571429,0.6666666666666666,0.6904761904761905,0.42857142857142855,0.7142857142857143,0.8095238095238095,0.5476190476190477,0.38095238095238093,0.7380952380952381,0.6428571428571429,0.5,0.6428571428571429,0.6428571428571429,0.5952380952380952,0.7380952380952381,0.6904761904761905,0.5952380952380952,0.35714285714285715,0.6428571428571429
Llama 70B | t0.6 | 0/1 UR,0.6428571428571429,0.5,0.6190476190476191,0.6428571428571429,0.6428571428571429,1.0,0.42857142857142855,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.5476190476190477,0.7380952380952381,0.6428571428571429,0.6190476190476191,0.5476190476190477,0.6190476190476191,0.6190476190476191,0.5952380952380952,0.8809523809523809,0.5238095238095238,0.7380952380952381,0.5,0.40476190476190477,0.4523809523809524,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5476190476190477,0.7857142857142857,0.5,0.6904761904761905
Llama 70B | t0.6 | 0/1 OT,0.35714285714285715,0.38095238095238093,0.6666666666666666,0.2619047619047619,0.2857142857142857,0.42857142857142855,1.0,0.11904761904761904,0.11904761904761904,0.16666666666666666,0.8809523809523809,0.5,0.35714285714285715,0.38095238095238093,0.16666666666666666,0.7142857142857143,0.3333333333333333,0.38095238095238093,0.5,0.8809523809523809,0.21428571428571427,0.21428571428571427,0.5476190476190477,0.35714285714285715,0.21428571428571427,0.40476190476190477,0.2619047619047619,0.5,0.2619047619047619,0.7380952380952381,0.21428571428571427
Llama 70B | t0.6 | 0/1 ML,0.7619047619047619,0.5476190476190477,0.30952380952380953,0.8571428571428571,0.7380952380952381,0.6904761904761905,0.11904761904761904,1.0,1.0,0.9523809523809523,0.23809523809523808,0.6190476190476191,0.6666666666666666,0.6904761904761905,0.7619047619047619,0.40476190476190477,0.7857142857142857,0.5952380952380952,0.6190476190476191,0.21428571428571427,0.9047619047619048,0.8095238095238095,0.5238095238095238,0.5714285714285714,0.8095238095238095,0.7142857142857143,0.8571428571428571,0.5238095238095238,0.8571428571428571,0.2857142857142857,0.9047619047619048
Llama 70B | t0.01 | 0/1 bias,0.7619047619047619,0.5476190476190477,0.30952380952380953,0.8571428571428571,0.7380952380952381,0.6904761904761905,0.11904761904761904,1.0,1.0,0.9523809523809523,0.23809523809523808,0.6190476190476191,0.6666666666666666,0.6904761904761905,0.7619047619047619,0.40476190476190477,0.7857142857142857,0.5952380952380952,0.6190476190476191,0.21428571428571427,0.9047619047619048,0.8095238095238095,0.5238095238095238,0.5714285714285714,0.8095238095238095,0.7142857142857143,0.8571428571428571,0.5238095238095238,0.8571428571428571,0.2857142857142857,0.9047619047619048
Llama 70B | t0.6 | 0/1 bias,0.8095238095238095,0.5,0.35714285714285715,0.9047619047619048,0.6904761904761905,0.6904761904761905,0.16666666666666666,0.9523809523809523,0.9523809523809523,1.0,0.2857142857142857,0.6666666666666666,0.7142857142857143,0.7380952380952381,0.7142857142857143,0.4523809523809524,0.8333333333333334,0.5952380952380952,0.6666666666666666,0.2619047619047619,0.8571428571428571,0.7619047619047619,0.5714285714285714,0.6190476190476191,0.7619047619047619,0.7619047619047619,0.9047619047619048,0.5714285714285714,0.9047619047619048,0.3333333333333333,0.8571428571428571
Llama 70B | t0.6 | 0-5 bin,0.47619047619047616,0.5,0.6904761904761905,0.38095238095238093,0.40476190476190477,0.5476190476190477,0.8809523809523809,0.23809523809523808,0.23809523809523808,0.2857142857142857,1.0,0.6190476190476191,0.47619047619047616,0.5,0.2857142857142857,0.7380952380952381,0.4523809523809524,0.5,0.6190476190476191,0.8809523809523809,0.3333333333333333,0.23809523809523808,0.42857142857142855,0.47619047619047616,0.3333333333333333,0.42857142857142855,0.38095238095238093,0.6190476190476191,0.38095238095238093,0.6666666666666666,0.3333333333333333
