,Llama 70B | t0.6 | 0/1 GA,Llama 70B | t0.6 | 0/1 BA,Llama 70B | t0.6 | 0/1 MR,Llama 70B | t0.6 | 0/1 ODK,Llama 70B | t0.6 | 0/1 OTK,Llama 70B | t0.6 | 0/1 UR,Llama 70B | t0.6 | 0/1 OT,Llama 70B | t0.6 | 0/1 ML,Llama 70B | t0.01 | 0/1 bias,Llama 70B | t0.6 | 0/1 bias,Llama 70B | t0.6 | 0-5 bin,Claude | t0.6 | 0/1 bias,Claude | t0.6 | 0-5 bin,Claude | t0.6 | 0/1 GA,Claude | t0.6 | 0/1 BA,Claude | t0.6 | 0/1 MR,Claude | t0.6 | 0/1 ODK,Claude | t0.6 | 0/1 OTK,Claude | t0.6 | 0/1 UR,Claude | t0.6 | 0/1 OT,Claude | t0.6 | 0/1 ML,Human |  | is_correct,Human |  | stereotype_aligned,Human |  | 0/1 GA,Human |  | 0/1 BA,Human |  | 0/1 MR,Human |  | 0/1 ODK,Human |  | 0/1 OTK,Human |  | 0/1 UR,Human |  | 0/1 OT,Human |  | 0/1 ML
Llama 70B | t0.6 | 0/1 GA,1.0,0.04773269689737469,0.16635160680529293,0.6956521739130435,0.3021148036253777,0.1076487252124646,0.08103727714748776,0.0,0.0,0.27586206896551724,0.1779359430604981,0.6735751295336787,0.7692307692307692,0.821529745042493,-0.050000000000000044,0.17731958762886602,0.9320388349514563,0.3123425692695214,0.1295336787564766,0.15706806282722507,0.17322834645669294,-0.26845637583892623,0.5116279069767442,0.588235294117647,-0.26845637583892623,0.38596491228070173,0.6956521739130435,0.5116279069767442,0.08695652173913038,0.06666666666666665,0.17322834645669294
Llama 70B | t0.6 | 0/1 BA,0.04773269689737469,1.0,0.2647702407002188,0.029197080291970656,0.15201900237529686,-0.03764705882352937,-0.15433403805496826,0.0,0.0,-0.09429280397022333,0.04751619870410384,0.17169373549883993,0.06557377049180324,0.11058823529411765,0.5489260143198091,0.15812917594654785,-0.007194244604316502,0.22401847575057743,-0.023201856148491684,-0.17419354838709666,-0.08353808353808367,-0.16385542168674694,-0.387243735763098,0.46896551724137936,0.24096385542168675,0.15602836879432624,0.029197080291970656,0.18678815489749434,-0.07299270072992714,-0.05228758169934644,0.019656019656019597
Llama 70B | t0.6 | 0/1 MR,0.16635160680529293,0.2647702407002188,1.0,0.13903743315508021,0.03262955854126681,0.33465346534653473,0.060702875399361034,0.0,0.0,0.04384485666104565,0.22662889518413598,0.34511434511434513,0.2816901408450704,0.2514851485148516,0.16635160680529293,0.5892420537897309,0.13966480446927365,0.15644820295983097,0.38877338877338874,0.3913043478260869,0.05372616984402079,-0.2715596330275232,-0.16926503340757248,0.32258064516129037,0.1908256880733944,0.3040935672514621,0.13903743315508021,0.2984409799554565,0.13903743315508021,0.4878048780487805,0.017331022530329254
Llama 70B | t0.6 | 0/1 ODK,0.6956521739130435,0.029197080291970656,0.13903743315508021,1.0,0.20618556701030932,0.01869158878504662,0.04405286343612336,0.0,0.0,0.46153846153846156,0.09900990099009888,0.42622950819672123,0.5,0.5420560747663551,-0.0652173913043479,0.20359281437125742,0.7586206896551724,0.2834645669291338,-0.032786885245901676,0.08695652173913038,-0.12903225806451601,-0.19512195121951237,0.3098591549295774,0.36363636363636365,-0.19512195121951237,0.5882352941176471,1.0,0.3098591549295774,0.22222222222222232,0.1250000000000001,-0.12903225806451601
Llama 70B | t0.6 | 0/1 OTK,0.3021148036253777,0.15201900237529686,0.03262955854126681,0.20618556701030932,1.0,0.12742382271468145,-0.048252911813643884,0.0,0.0,-0.08764940239043817,0.047186932849364926,0.08695652173913049,0.15094339622641517,0.18559556786703602,0.17522658610271913,-0.047817047817047875,0.2149532710280373,0.5810473815461347,-0.020460358056265893,0.0267379679144385,0.14760147601476015,-0.012861736334405016,-0.023201856148491684,0.23357664233576647,-0.012861736334405016,-0.017094017094017033,0.20618556701030932,0.36658932714617176,-0.22680412371134007,-0.06779661016949157,-0.16236162361623618
Llama 70B | t0.6 | 0/1 UR,0.1076487252124646,-0.03764705882352937,0.33465346534653473,0.01869158878504662,0.12742382271468145,1.0,0.11423550087873457,0.0,0.0,0.05536332179930803,0.2457466918714556,0.4239401496259352,0.18181818181818177,0.10875331564986734,-0.13031161473087804,0.2896405919661734,0.02608695652173909,0.1271393643031784,0.7381546134663342,0.21787709497206698,0.24262295081967222,-0.3086053412462908,-0.21247113163972275,-0.15827338129496393,0.06528189910979232,0.14634146341463417,0.01869158878504662,0.07852193995381074,0.41121495327102797,0.14035087719298256,0.10491803278688538
Llama 70B | t0.6 | 0/1 OT,0.08103727714748776,-0.15433403805496826,0.060702875399361034,0.04405286343612336,-0.048252911813643884,0.11423550087873457,1.0,0.0,0.0,0.013422818791946511,0.6037735849056605,0.1535508637236085,-0.025316455696202445,0.040421792618629215,-0.19124797406807126,0.33156498673740054,0.071090047393365,-0.08118811881188104,0.1535508637236085,0.5783132530120483,0.02805049088359035,-0.06779661016949157,0.1269146608315097,-0.1595092024539877,-0.06779661016949157,0.10256410256410242,0.04405286343612336,0.035010940919037115,0.04405286343612336,0.2222222222222222,0.02805049088359035
Llama 70B | t0.6 | 0/1 ML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama 70B | t0.01 | 0/1 bias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Llama 70B | t0.6 | 0/1 bias,0.27586206896551724,-0.09429280397022333,0.04384485666104565,0.46153846153846156,-0.08764940239043817,0.05536332179930803,0.013422818791946511,0.0,0.0,1.0,0.03076923076923066,0.1502890173410404,0.18181818181818188,0.20069204152249143,-0.0862068965517242,0.06576402321083175,0.3098591549295774,0.021917808219177992,0.1502890173410404,0.02690582959641241,-0.06779661016949157,-0.08247422680412386,0.10426540284360186,0.125,-0.08247422680412386,0.2222222222222222,0.46153846153846156,0.10426540284360186,0.46153846153846156,0.03921568627450989,-0.06779661016949157
Llama 70B | t0.6 | 0-5 bin,0.1779359430604981,0.04751619870410384,0.22662889518413598,0.09900990099009888,0.047186932849364926,0.2457466918714556,0.6037735849056605,0.0,0.0,0.03076923076923066,1.0,0.32258064516129037,0.108108108108108,0.16635160680529293,-0.12099644128113884,0.4181360201511335,0.15706806282722507,0.0907216494845361,0.32258064516129037,0.6601941747572815,0.06369426751592355,-0.15068493150684925,-0.11504424778761058,0.025316455696202445,-0.006849315068493178,0.06666666666666665,0.09900990099009888,0.256637168141593,0.09900990099009888,0.14035087719298245,0.06369426751592355
