,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,baseline05,baseline05_bin,baseline01,bias01,bias01_pathways,is_correct,incorrect,incorrect_and_stereotype
baseline05,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,-0.20341790619244285,0.2034179061924435,0.18158692448501376
baseline05_bin,0.9080038941703122,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,-0.17503651130278236,0.17503651130278333,0.11539972508556284
baseline01,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,-0.17675075705389312,0.17675075705389584,0.1923829007001365
bias01,0.4087723466654196,0.32082459391360185,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,-0.1981123830680686,0.1981123830680695,0.34158794764212136
bias01_pathways,0.333981427689695,0.2643460014462028,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,-0.23263933841173426,0.23263933841173537,0.40717288066217117
baseline05,1.0,0.9080038941703121,0.38061886114682636,0.4087723466654198,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,1.0,0.9080038941703122,0.38061886114682636,0.4087723466654196,0.333981427689695,-0.20341790619244285,0.2034179061924435,0.18158692448501376
baseline05_bin,0.9080038941703122,1.0,0.3437047774019658,0.32082459391360174,0.26434600144620274,0.9080038941703122,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,0.9080038941703121,1.0,0.3437047774019658,0.32082459391360185,0.2643460014462028,-0.17503651130278236,0.17503651130278333,0.11539972508556284
baseline01,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,0.38061886114682636,0.3437047774019658,1.0,0.5121242490264674,0.4527157381481147,-0.17675075705389312,0.17675075705389584,0.1923829007001365
bias01,0.4087723466654196,0.32082459391360185,0.5121242490264674,1.0,0.761409450868095,0.4087723466654196,0.32082459391360185,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,0.4087723466654198,0.32082459391360174,0.5121242490264674,1.0,0.761409450868095,-0.1981123830680686,0.1981123830680695,0.34158794764212136
bias01_pathways,0.333981427689695,0.2643460014462028,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.2643460014462028,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,0.333981427689695,0.26434600144620274,0.4527157381481147,0.761409450868095,1.0,-0.23263933841173426,0.23263933841173537,0.40717288066217117
