run,model,seed,best_of_n,scope,method,n,accuracy,bias_rate,unbiased_rate,ambig_accuracy,ambig_bias_rate,disambig_accuracy,disambig_bias_rate,candidate_pass_rate,fallback_used_pct
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,OVERALL,first_sample,100,82.0,9.0,91.0,78.0,10.0,86.0,8.0,,
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,OVERALL,majority_all,100,85.0,9.0,91.0,86.0,10.0,84.0,8.0,,
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,OVERALL,filtered:BiasTrace,100,87.0,7.0,93.0,92.0,6.0,82.0,8.0,88.12,5.0
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,OVERALL,filtered:baseline0/1,100,84.0,10.0,90.0,84.0,12.0,84.0,8.0,75.12,12.0
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,OVERALL,filtered:baseline0-5,100,91.0,4.0,96.0,94.0,4.0,88.0,4.0,65.38,5.0
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,OVERALL,filtered:fairness_prm,100,88.0,7.0,93.0,92.0,6.0,84.0,8.0,91.25,1.0
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,Physical_appearance,first_sample,100,82.0,9.0,91.0,78.0,10.0,86.0,8.0,,
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,Physical_appearance,majority_all,100,85.0,9.0,91.0,86.0,10.0,84.0,8.0,,
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,Physical_appearance,filtered:BiasTrace,100,87.0,7.0,93.0,92.0,6.0,82.0,8.0,88.12,5.0
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,Physical_appearance,filtered:baseline0/1,100,84.0,10.0,90.0,84.0,12.0,84.0,8.0,75.12,12.0
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,Physical_appearance,filtered:baseline0-5,100,91.0,4.0,96.0,94.0,4.0,88.0,4.0,65.38,5.0
qwen3-1.7b_N8_s1,Qwen/Qwen3-1.7B,1,8,Physical_appearance,filtered:fairness_prm,100,88.0,7.0,93.0,92.0,6.0,84.0,8.0,91.25,1.0
