DataPoint,Labeller
0,JR
1,KS
2,SR
3,KS
4,KS
5,JR
6,KS
7,JR
8,SR
9,JR
10,KS
11,JR
12,SR
13,VR
14,VR
15,KS
16,VR
17,VR
18,VR
19,KS
20,JR
21,KS
22,VR
23,VR
24,VR
25,KS
26,SR
27,JR
28,SR
29,KS
30,VR
31,SR
32,SR
33,SR
34,JR
35,VR
36,JR
37,VR
38,KS
39,VR
40,VR
41,SR
42,SR
43,VR
44,JR
45,JR
46,KS
47,VR
48,SR
49,JR
50,SR
51,JR
52,JR
53,SR
54,VR
55,JR
56,JR
57,VR
58,JR
59,JR
60,VR
61,KS
62,JR
63,SR
64,JR
65,SR
66,SR
67,SR
68,JR
69,VR
70,VR
71,SR
72,KS
73,KS
74,KS
75,KS
76,KS
77,SR
78,VR
79,KS
80,VR
81,KS
82,SR
83,VR
84,KS
85,VR
86,JR
87,SR
88,SR
89,KS
90,JR
91,KS
92,KS
93,VR
94,SR
95,SR
96,JR
97,SR
98,JR
99,KS
