labeller,sample_id,group_assumption,bias_acknowledgemnt ,meta_reflection,outside_demo_knowledge,outside_topical_knowledge,unresolved,overthinking ,missing_logic
VR,0,0,0,0,0,1,0,1,0
VR,1,0,0,1,0,0,0,1,0
VR,2,0,0,0,0,0,0,0,0
VR,3,1,0,0,0,0,0,1,0
VR,4,1,1,1,1,0,0,1,0
VR,5,0,1,1,0,0,0,0,0
VR,6,0,0,0,0,0,0,1,0
VR,7,0,0,1,0,0,0,1,0
VR,8,0,0,0,0,0,0,0,0
VR,9,1,1,1,1,1,0,1,0
VR,10,1,1,1,0,1,1,1,0
VR,11,0,0,1,0,1,0,0,0
KS ,0,0,0,0,0,1,0,1,0
KS ,1,0,0,1,0,0,0,1,0
KS ,2,0,0,0,0,0,0,0,0
KS ,3,1,0,0,0,0,0,1,0
KS ,4,1,1,1,1,0,0,1,0
KS ,5,0,1,1,0,0,0,0,0
KS ,6,0,0,0,0,0,0,1,0
KS ,7,0,0,1,0,0,0,0,0
KS ,8,0,0,0,0,0,0,0,0
KS ,9,1,1,1,1,1,0,1,0
KS ,10,1,1,1,0,1,1,1,0
KS ,11,0,0,1,0,1,0,0,0
